Model,MAE,RMSE,R2
Linear Regression,8.409132601636378,13.76844820168149,0.20318365941924443
Random Forest,5.914073677905652,10.800451960032456,0.5096884761119198
XGBoost,5.811617656552364,10.491734565316078,0.5373177584383508
